업종이름,업종코드
가구 소매업,G21101
가전제품 소매업,G20803
컴퓨터/소프트웨어 소매업,G20801
핸드폰 소매업,G20802
그 외 기타 상품 전문 소매업,G22199
악기 소매업,G21203
전기용품/조명장치 소매업,G21201
주방/가정용품 소매업,G21202
담배/전자담배 소매업,G20701
모터사이클 및 부품 소매업,G20301
가발 소매업,G20908
가방 소매업,G20911
기타 의류 소매업,G20905
남성 의류 소매업,G20901
신발 소매업,G20910
실/섬유제품 소매업,G20909
액세서리/잡화 소매업,G20907
여성 의류 소매업,G20902
유아용 의류 소매업,G20903
침구류/커튼 소매업,G20906
한복 소매업,G20904
시계/귀금속 소매업,G21701
가축 사료 소매업,G20502
건강보조식품 소매업,G20508
건어물/젓갈 소매업,G20504
곡물/곡분 소매업,G20501
반찬/식료품 소매업,G20509
수산물 소매업,G20505
아이스크림 할인점,G20507
정육점,G20503
채소/과일 소매업,G20506
꽃집,G21901
사무기기 소매업,G21601
사진기/기타 광학기기 소매업,G21603
안경렌즈 소매업,G21602
애완동물/애완용품 소매업,G22001
가스 충전소,G21402
가정용 연료 소매업,G21403
주유소,G21401
문구/회화용품 소매업,G21302
서점,G21301
운동용품 소매업,G21304
음반/비디오물 소매업,G21303
자전거 소매업,G21305
장난감 소매업,G21306
생수/음료 소매업,G20603
얼음 소매업,G20601
우유 소매업,G20604
주류 소매업,G20602
약국,G21501
의료기기 소매업,G21502
화장품 소매업,G21503
자동차 부품 소매업,G20202
타이어 소매업,G20201
기념품점,G21802
예술품 소매업,G21801
그 외 기타 종합 소매업,G20499
슈퍼마켓,G20404
편의점,G20405
중고 상품 소매업,G22201
건설/건축자재 소매업,G21003
기타 건설/건축자재 소매업,G21099
벽지/장판/마루 소매업,G21002
철물/공구 소매업,G21001
구내식당,I20701
뷔페,I20702
그 외 기타 간이 음식점,I21099
김밥/만두/분식,I21007
떡/한과,I21002
버거,I21004
빵/도넛,I21001
아이스크림/빙수,I21008
치킨,I21006
토스트/샌드위치/샐러드,I21005
피자,I21003
분류 안된 외국식 음식점,I20601
기타 동남아식 전문,I20599
베트남식 전문,I20501
카페,I21201
경양식,I20401
기타 서양식 음식점,I20499
파스타/스테이크,I20402
패밀리레스토랑,I20403
기타 일식 음식점,I20399
일식 면 요리,I20303
일식 카레/돈가스/덮밥,I20302
일식 회/초밥,I20301
무도 유흥 주점,I21102
생맥주 전문,I21103
요리 주점,I21104
일반 유흥 주점,I21101
마라탕/훠궈,I20202
중국집,I20201
곱창 전골/구이,I20109
국/탕/찌개류,I20102
국수/칼국수,I20105
기타 한식 음식점,I20199
냉면/밀면,I20106
닭/오리고기 구이/찜,I20110
돼지고기 구이/찜,I20107
백반/한정식,I20101
복 요리 전문,I20113
소고기 구이/찜,I20108
전/부침개,I20104
족발/보쌈,I20103
해산물 구이/찜,I20112
횟집,I20111
가전제품 수리업,S20501
가죽/가방/신발 수선업,S20602
그 외 기타 개인/가정용품 수리업,S20699
시계/귀금속/악기 수리업,S20603
의류/이불 수선업,S20601
결혼 상담 서비스업,S21105
예식장업,S21101
모터사이클 수리업,S20401
세탁소,S20901
셀프 빨래방,S20902
마사지/안마,S20802
목욕탕/사우나,S20801
체형/비만 관리,S20803
네일숍,S20703
미용실,S20701
피부 관리실,S20702
자동차 세차장,S20302
자동차 정비소,S20301
장례식장,S21001
화장터/묘지/납골당,S21002
컴퓨터/노트북/프린터 수리업,S20101
핸드폰/통신장비 수리업,S20201
독서실/스터디 카페,R10202
골프 연습장,R10311
기타 스포츠시설 운영업,R10314
당구장,R10310
볼링장,R10309
수영장,R10308
스쿼시/라켓볼장,R10316
종합 스포츠시설,R10306
탁구장,R10313
테니스장,R10312
헬스장,R10307
PC방,R10406
기타 오락관련 서비스업,R10499
기타 오락장,R10405
낚시터 운영업,R10408
노래방,R10407
바둑/장기/체스 경기 운영업,R10414
복권 발행/판매업,R10410
비디오방,R10402
수상/해양 레저업,R10409
전자 게임장,R10404
교육컨설팅업,P10701
기타 교육지원 서비스업,P10799
그 외 기타 교육기관,P10629
기타 기술/직업 훈련학원,P10625
기타 예술/스포츠 교육기관,P10613
레크리에이션 교육기관,P10605
미술학원,P10611
사회교육시설,P10619
외국어학원,P10615
요가/필라테스 학원,P10603
운전학원,P10623
음악학원,P10609
전문자격/고시학원,P10617
직원 훈련기관,P10621
청소년 수련시설,P10607
컴퓨터 학원,P10627
태권도/무술학원,P10601
입시·교과학원,P10501
부동산 중개/대리업,L10203
그 외 기타 숙박업,I10299
기숙사/고시원,I10201
여관/모텔,I10102
캠핑/글램핑,I10104
펜션,I10103
호텔/리조트,I10101
광고 대행업,M10501
광고 매체 판매업,M10503
광고물 설계/제작업,M10504
기타 광고 관련 서비스업,M10599
옥외/전시 광고 대행업,M10502
건물 및 토목 엔지니어링 서비스업,M10903
건축 설계 및 관련 서비스업,M10901
기타 엔지니어링 서비스업,M10999
도시 계획 및 조경 설계 서비스업,M10902
환경 관련 엔지니어링 서비스업,M10904
번역/통역 서비스업,M11502
사업/무형 재산권 중개업,M11504
공인노무사,M10307
기타 법무관련 서비스업,M10399
법무사,M10303
변리사,M10302
변호사,M10301
행정사,M10306
경영 컨설팅업,M10703
사진촬영업,M11301
동물병원,M11101
시장 조사 및 여론 조사업,M10601
명함/간판/광고물 제작,M11401
시각 디자인업,M11203
인테리어 디자인업,M11201
제품 디자인업,M11202
패션/섬유/기타 전문 디자인업,M11204
공인회계사,M10401
기타 회계 관련 서비스업,M10499
세무사,M10402
유사 의료업,Q10402
요양병원,Q10105
일반병원,Q10102
종합병원,Q10101
치과병원,Q10103
한방병원,Q10104
기타 의원,Q10209
내과/소아과 의원,Q10201
방사선 진단/병리 검사 의원,Q10212
산부인과 의원,Q10207
성형외과 의원,Q10208
신경/정신과 의원,Q10203
안과 의원,Q10205
외과 의원,Q10202
이비인후과 의원,Q10206
치과의원,Q10210
피부/비뇨기과 의원,Q10204
한의원,Q10211
기타 개인/가정용품 대여업,N11099
만화방,N11003
스포츠/레크리에이션 용품 대여업,N11001
음반/비디오물 대여업,N11002
의류 대여업,N11004
고용 알선업,N10401
상용 인력 공급 및 인사관리 서비스업,N10403
임시/일용 인력 공급업,N10402
전시/컨벤션/행사 대행 서비스업,N10802
포장/충전업,N10805
기타 사무 지원 서비스업,N10799
복사업,N10703
건설기계/장비 대여업,N11101
기타 산업용 기계/장비 대여업,N11199
컴퓨터/사무기기 대여업,N11102
사업시설 유지·관리 서비스업,N10101
기타 여행 보조/예약 서비스업,N10599
여행사,N10501
기타 운송장비 대여업,N10999
자동차 대여업,N10901
조경 유지·관리 서비스업,N10301
건축물 일반 청소업,N10201
"산업설비, 운송장비 및 공공장소 청소업",N10202
"소독, 구충 및 방제 서비스업",N10203
